Ticket ID,Title,Detailed Description,Source Document,Tech Assigned,Estimated Hours,Recurring Frequency,Recurring
WISP-001,Deploy SPF Records for All Domains,"Publish SPF TXT records in DNS for all Technijian-owned domains. Set policy to -all (hard fail). Verify using SPF validation tools (e.g., MXToolbox). Document all authorized sending sources including M365, marketing platforms, and ticketing system.",WISP Section 7.1,Sai Revanth,4,One-time + verify annually,Yes
WISP-002,Configure DKIM Signing for Outbound Email,Enable DKIM signing on all outbound email from Technijian domains via Microsoft 365 and any other sending platforms. Generate 2048-bit DKIM keys. Publish DKIM CNAME records in DNS. Verify signing is active using email header analysis.,WISP Section 7.1,Sai Revanth,4,One-time + rotate keys annually,Yes
WISP-003,Implement DMARC Policy at Reject,"Publish DMARC DNS records for all Technijian domains. Start at p=none with reporting, advance to p=quarantine, then p=reject over 30-60 days. Configure aggregate (rua) and forensic (ruf) report recipients. Monitor reports weekly during rollout to identify legitimate senders.",WISP Section 7.1,Sai Revanth,8,One-time + monitor monthly,Yes
WISP-004,Deploy Email Security Gateway Controls,"Configure inbound email security gateway with: anti-spam/anti-malware scanning, URL rewriting with time-of-click analysis, attachment sandboxing for executables and macro-enabled files, impersonation/display-name spoofing detection, and external sender banners on all inbound external email.",WISP Section 7.1,Sai Revanth,12,One-time + tune quarterly,Yes
WISP-005,Implement BEC Prevention Controls,Configure wire transfer/payment change verification procedure (phone verification using known numbers). Set up executive impersonation detection rules in email gateway. Add BEC scenarios to phishing simulation campaigns. Document and distribute the verification procedure to all staff handling financial transactions.,WISP Section 7.2,Sai Revanth,6,One-time + test quarterly,Yes
WISP-006,Configure Microsoft 365 DLP Policies,"Create and enable DLP policies in Microsoft 365 for Exchange Online, SharePoint, OneDrive, and Teams. Define rules to detect SSN patterns, credit card numbers, and other Restricted data indicators. Configure policy tips for users. Set blocking actions for high-confidence matches. Route violations to Security Officer for review.",WISP Section 8.1,Sai Revanth,16,One-time + tune quarterly,Yes
WISP-007,Deploy Endpoint DLP for Removable Media,Configure endpoint DLP agent to monitor and control file transfers to USB drives and external storage devices. Block transfer of files matching Restricted data patterns. Allow exceptions only with documented Security Officer approval. Generate alerts for all blocked transfers.,WISP Section 8.1,Sai Revanth,8,One-time + review quarterly,Yes
WISP-008,Harden Microsoft 365 Tenant per CIS Benchmark,"Audit and harden Microsoft 365 tenant configuration against CIS Microsoft 365 Foundations Benchmark. Key items: limit global admins to dedicated accounts (max 4), enable unified audit logging for all services, disable legacy authentication protocols, configure external sharing restrictions, enable Azure AD security defaults or equivalent conditional access, review and restrict guest access.",WISP Section 9.1,Sai Revanth,16,One-time + audit annually,Yes
WISP-009,Implement Conditional Access Policies,"Configure Azure AD conditional access policies: require MFA for all users, block legacy authentication, require compliant devices for sensitive data access, restrict access from untrusted locations, enforce session timeouts and reauthentication. Test in report-only mode before enforcement.",WISP Section 9.1,Sai Revanth,12,One-time + review quarterly,Yes
WISP-010,Shadow IT Discovery and Blocking,Deploy Microsoft Cloud App Security or equivalent cloud app discovery tool to identify unauthorized SaaS usage. Review discovered apps. Block high-risk or unsanctioned apps via firewall/proxy. Establish a process for employees to request new cloud services. Communicate approved app list to all staff.,WISP Section 9.1,Sai Revanth,8,One-time + review quarterly,Yes
