Ticket ID,Title,Detailed Description,Source Document,Tech Assigned,Estimated Hours,Recurring Frequency,Recurring
AFFG-001,Create Written Incident Response Program (Reg S-P),"CRITICAL (Phase 1, 0-30 days). AFFG's BCP has no written incident response program for data breaches or unauthorized access to customer information. Create a standalone Incident Response Plan or integrated IRP section covering detection procedures, containment protocols, forensic investigation steps, escalation matrix, evidence preservation, and recovery procedures, as required by the 2024 Reg S-P amendments.",SEC Reg S-P 2024 / Finding 1,Sai Revanth,16,One-time,No
AFFG-002,Establish Customer Breach Notification Procedures (Reg S-P),"CRITICAL (Phase 1, 0-30 days). No procedures exist to notify affected individuals within 30 days of determining sensitive customer information was, or is reasonably likely to have been, accessed without authorization. Add a Breach Notification section: criteria for when notification is required, the 30-day timeline, notification-letter content requirements, the process to determine scope of affected individuals, and template notification letters.",SEC Reg S-P 2024 / Finding 2,Sai Revanth,10,One-time,No
AFFG-003,Establish Service Provider Oversight Framework (Reg S-P),"CRITICAL (Phase 1, 0-30 days). The BCP references third-party vendors (AT&T, RingCentral, AWS, Microsoft 365, Synology) but has no service-provider oversight framework. Add a Service Provider Management section: vendor due-diligence procedures, contractual 72-hour breach-notification requirements, ongoing monitoring of provider security posture, and an inventory of all providers with access to customer information.",SEC Reg S-P 2024 / Finding 3,Sai Revanth,12,One-time,No
AFFG-004,Implement Reg S-P Recordkeeping Requirements,"HIGH (Phase 2, 30-60 days). No recordkeeping provisions for Reg S-P compliance. Define the records to maintain (policies, incident reports, notifications, testing results), the five-year retention period, storage location and format, and the designated records custodian.",SEC Reg S-P 2024 / Finding 4,Sai Revanth,6,One-time,No
AFFG-005,Expand Data Backup and Recovery Specifications,"HIGH (Phase 2, 30-60 days). Backup descriptions are vague (Synology NAS, cloud facilities) and lack specifics. Expand to specify backup frequency and schedule, RPO and RTO per data category, encryption standards at rest and in transit, geographic separation of backup sites, hard-copy document backup procedures, and regular restoration testing with documented results.",FINRA 4370(c)(1) / Finding 5,Sai Revanth,10,One-time,No
AFFG-006,Build Mission Critical Systems Inventory,"HIGH (Phase 2, 30-60 days). The BCP does not identify mission-critical systems. Create an inventory mapping each system to its business function, owner, dependencies, and RTO/RPO, with alternate processing capabilities, covering order management, trade execution, clearing/settlement, customer account access, and fund/securities delivery.",FINRA 4370(c)(2) / Finding 6,Sai Revanth,12,One-time,No
AFFG-007,Develop Financial and Operational Assessment Procedures,"HIGH (Phase 2, 30-60 days). No written procedures for financial and operational assessment following a significant business disruption. Add procedures to assess the firm's ability to fund operations, evaluate changes to credit-risk exposure, determine ability to meet margin/capital requirements, and establish criteria for continuing or suspending operations.",FINRA 4370(c)(3) / Finding 7,Sai Revanth,8,One-time,No
AFFG-008,Document Customer Access to Funds and Securities Procedures,"HIGH (Phase 2, 30-60 days). The BCP lacks specific procedures for prompt customer access to funds and securities if the firm cannot continue business. Add procedures for transferring or making accounts accessible, arrangements with carrying/clearing firms, timelines for restoring access, and steps if the firm cannot continue (including SIPC notification).",FINRA 4370(c)(10) / Finding 8,Sai Revanth,10,One-time,No
AFFG-009,Define Alternate Customer Communication Procedures,"MEDIUM (Phase 3, 60-90 days). Customer communication procedures are vague. Define specific alternate channels for each disruption scenario (firm-only, building, district, city, regional): alternate phone numbers, backup email, website notifications, social media, and written correspondence procedures.",FINRA 4370(c)(4) / Finding 9,Sai Revanth,6,One-time,No
AFFG-010,Expand Employee Communication and Notification Plan,"MEDIUM (Phase 3, 60-90 days). Employee communication relies on a basic call tree. Add a mass notification system, backup communication tools (SMS, messaging apps), out-of-band procedures, and regular call-tree testing with documented results.",FINRA 4370(c)(5) / Finding 10,Sai Revanth,6,One-time,No
